series_id,year,period,value
CIU2010000100000A,2015,Q04,1.9
CIU2010000100000A,2015,Q03,1.8
CIU2010000100000A,2015,Q02,1.8
CIU2010000100000A,2015,Q01,2.6
CIU2010000100000A,2014,Q04,2.3
CIU2010000100000A,2014,Q03,2.3
CIU2010000100000A,2014,Q02,2.2
CIU2010000100000A,2014,Q01,1.9
CIU2010000100000A,2013,Q04,2.1
CIU2010000100000A,2013,Q03,2.1
CIU2010000100000A,2013,Q02,2.0
CIU2010000100000A,2013,Q01,1.8
CIU2010000100000A,2012,Q04,2.0
CIU2010000100000A,2012,Q03,2.0
CIU2010000100000A,2012,Q02,2.0
CIU2010000100000A,2012,Q01,2.0
CIU2010000100000A,2011,Q04,2.1
CIU2010000100000A,2011,Q03,2.1
CIU2010000100000A,2011,Q02,2.3
CIU2010000100000A,2011,Q01,2.1
CIU2010000100000A,2010,Q04,2.1
CIU2010000100000A,2010,Q03,1.9
CIU2010000100000A,2010,Q02,1.5
CIU2010000100000A,2010,Q01,1.3
CIU2010000100000I,2024,Q04,162.2
CIU2010000100000I,2024,Q03,161.4
CIU2010000100000I,2024,Q02,160.4
CIU2010000100000I,2024,Q01,158.9
CIU2010000100000I,2023,Q04,156.8
CIU2010000100000I,2023,Q03,156.2
CIU2010000100000I,2023,Q02,154.7
CIU2010000100000I,2023,Q01,152.9
CIU2010000100000I,2022,Q04,150.8
CIU2010000100000I,2022,Q03,149.6
CIU2010000100000I,2022,Q02,148.5
CIU2010000100000I,2022,Q01,146.6
CIU2010000100000I,2021,Q04,144.4
CIU2010000100000I,2021,Q03,143.5
CIU2010000100000I,2021,Q02,141.7
CIU2010000100000I,2021,Q01,140.7
CIU2010000100000I,2020,Q04,139.5
CIU2010000100000I,2020,Q03,139.0
CIU2010000100000I,2020,Q02,138.4
CIU2010000100000I,2020,Q01,138.0
CIU2010000100000I,2019,Q04,136.8
CIU2010000100000I,2019,Q03,136.4
CIU2010000100000I,2019,Q02,135.6
CIU2010000100000I,2019,Q01,134.8
CIU2010000100000I,2018,Q04,133.8
CIU2010000100000I,2018,Q03,133.3
CIU2010000100000I,2018,Q02,132.6
CIU2010000100000I,2018,Q01,131.8
CIU2010000100000I,2017,Q04,130.5
CIU2010000100000I,2017,Q03,130.0
CIU2010000100000I,2017,Q02,129.5
CIU2010000100000I,2017,Q01,128.5
